nameWithOwner;name;url;stargazerCount;releases;createdAt;ageInYears
dataease/dataease;dataease;https://github.com/dataease/dataease;9154;49;02/02/2021 04:10:21;2
cryptomator/cryptomator;cryptomator;https://github.com/cryptomator/cryptomator;9071;146;02/02/2014 00:43:47;9
navasmdc/MaterialDesignLibrary;MaterialDesignLibrary;https://github.com/navasmdc/MaterialDesignLibrary;9053;3;30/09/2014 07:37:17;8
LSPosed/LSPosed;LSPosed;https://github.com/LSPosed/LSPosed;9023;36;12/12/2020 08:39:37;2
barry-ran/QtScrcpy;QtScrcpy;https://github.com/barry-ran/QtScrcpy;8980;28;23/06/2019 04:12:17;3
metersphere/metersphere;metersphere;https://github.com/metersphere/metersphere;8937;133;03/02/2020 02:06:12;3
jwtk/jjwt;jjwt;https://github.com/jwtk/jjwt;8912;0;13/09/2014 01:06:24;8
stanfordnlp/CoreNLP;CoreNLP;https://github.com/stanfordnlp/CoreNLP;8889;12;27/06/2013 21:13:49;9
nathanmarz/storm;storm;https://github.com/nathanmarz/storm;8884;0;17/09/2011 07:55:13;11
GcsSloop/AndroidNote;AndroidNote;https://github.com/GcsSloop/AndroidNote;8849;0;04/01/2016 23:51:36;7
didi/VirtualAPK;VirtualAPK;https://github.com/didi/VirtualAPK;8821;4;29/06/2017 07:25:05;5
laobie/StatusBarUtil;StatusBarUtil;https://github.com/laobie/StatusBarUtil;8810;0;15/02/2016 03:06:06;7
Justson/AgentWeb;AgentWeb;https://github.com/Justson/AgentWeb;8803;19;12/05/2017 07:45:56;5
android/testing-samples;testing-samples;https://github.com/android/testing-samples;8771;0;11/10/2014 03:51:27;8
crossoverJie/cim;cim;https://github.com/crossoverJie/cim;8764;7;20/05/2018 15:55:56;4
krahets/hello-algo;hello-algo;https://github.com/krahets/hello-algo;8757;1;04/11/2022 11:08:34;0
chrisbanes/Android-PullToRefresh;Android-PullToRefresh;https://github.com/chrisbanes/Android-PullToRefresh;8748;0;29/11/2011 09:59:56;11
OpenFeign/feign;feign;https://github.com/OpenFeign/feign;8670;28;26/06/2013 23:28:16;9
resilience4j/resilience4j;resilience4j;https://github.com/resilience4j/resilience4j;8635;32;03/06/2015 09:21:01;7
cats-oss/android-gpuimage;android-gpuimage;https://github.com/cats-oss/android-gpuimage;8626;0;04/10/2012 08:11:58;10
chrisjenx/Calligraphy;Calligraphy;https://github.com/chrisjenx/Calligraphy;8598;4;20/12/2013 02:35:45;9
Freelander/Android_Data;Android_Data;https://github.com/Freelander/Android_Data;8594;0;04/04/2015 01:37:44;7
huanghaibin-dev/CalendarView;CalendarView;https://github.com/huanghaibin-dev/CalendarView;8591;0;11/03/2017 07:16:09;6
Blankj/awesome-java-leetcode;awesome-java-leetcode;https://github.com/Blankj/awesome-java-leetcode;8513;0;17/04/2017 15:51:41;5
facebook/buck;buck;https://github.com/facebook/buck;8502;57;17/04/2013 18:12:18;9
roughike/BottomBar;BottomBar;https://github.com/roughike/BottomBar;8431;4;16/03/2016 01:31:05;6
junit-team/junit4;junit4;https://github.com/junit-team/junit4;8415;13;13/01/2009 03:41:26;14
firebase/quickstart-android;quickstart-android;https://github.com/firebase/quickstart-android;8387;0;26/04/2016 17:13:27;6
ybq/Android-SpinKit;Android-SpinKit;https://github.com/ybq/Android-SpinKit;8376;0;20/03/2016 08:40:51;6
dropwizard/dropwizard;dropwizard;https://github.com/dropwizard/dropwizard;8364;137;19/01/2011 19:52:29;12
languagetool-org/languagetool;languagetool;https://github.com/languagetool-org/languagetool;8338;0;08/08/2013 16:37:22;9
debezium/debezium;debezium;https://github.com/debezium/debezium;8218;0;22/01/2016 20:17:05;7
supertokens/supertokens-core;supertokens-core;https://github.com/supertokens/supertokens-core;8215;21;05/01/2020 13:30:52;3
shwenzhang/AndResGuard;AndResGuard;https://github.com/shwenzhang/AndResGuard;8205;4;11/10/2015 11:48:06;7
KunMinX/Jetpack-MVVM-Best-Practice;Jetpack-MVVM-Best-Practice;https://github.com/KunMinX/Jetpack-MVVM-Best-Practice;8194;0;31/10/2019 05:21:01;3
florent37/MaterialViewPager;MaterialViewPager;https://github.com/florent37/MaterialViewPager;8190;11;24/04/2015 17:53:15;7
Netflix/conductor;conductor;https://github.com/Netflix/conductor;8176;313;07/12/2016 22:48:42;6
airbnb/epoxy;epoxy;https://github.com/airbnb/epoxy;8161;73;08/08/2016 23:05:11;6
amitshekhariitbhu/Android-Debug-Database;Android-Debug-Database;https://github.com/amitshekhariitbhu/Android-Debug-Database;8151;12;16/11/2016 14:20:24;6
signalapp/Signal-Server;Signal-Server;https://github.com/signalapp/Signal-Server;8117;0;09/12/2013 07:10:36;9
alibaba/atlas;atlas;https://github.com/alibaba/atlas;8096;7;28/02/2017 06:31:43;6
YunaiV/yudao-cloud;yudao-cloud;https://github.com/YunaiV/yudao-cloud;8067;1;02/05/2019 16:06:49;3
kekingcn/kkFileView;kkFileView;https://github.com/kekingcn/kkFileView;8040;11;12/12/2017 11:41:08;5
hs-web/hsweb-framework;hsweb-framework;https://github.com/hs-web/hsweb-framework;8005;26;18/01/2016 03:51:39;7
zhoutaoo/SpringCloud;SpringCloud;https://github.com/zhoutaoo/SpringCloud;8002;0;23/07/2017 14:28:08;5
react-native-image-picker/react-native-image-picker;react-native-image-picker;https://github.com/react-native-image-picker/react-native-image-picker;7941;117;08/06/2015 20:25:31;7
guolindev/LitePal;LitePal;https://github.com/guolindev/LitePal;7937;0;20/02/2013 03:20:07;10
Netflix/SimianArmy;SimianArmy;https://github.com/Netflix/SimianArmy;7927;4;06/07/2012 22:00:05;10
HannahMitt/HomeMirror;HomeMirror;https://github.com/HannahMitt/HomeMirror;7889;0;23/08/2015 03:20:08;7
ChrisRM/material-theme-jetbrains;material-theme-jetbrains;https://github.com/ChrisRM/material-theme-jetbrains;7885;17;23/09/2015 07:15:04;7
JakeWharton/hugo;hugo;https://github.com/JakeWharton/hugo;7876;0;25/11/2013 09:16:40;9
apache/cassandra;cassandra;https://github.com/apache/cassandra;7856;0;21/05/2009 02:10:09;13
apache/shardingsphere-elasticjob;shardingsphere-elasticjob;https://github.com/apache/shardingsphere-elasticjob;7829;28;11/09/2015 11:28:52;7
google/tsunami-security-scanner;tsunami-security-scanner;https://github.com/google/tsunami-security-scanner;7797;14;03/06/2020 16:20:00;2
ssssssss-team/spider-flow;spider-flow;https://github.com/ssssssss-team/spider-flow;7759;2;27/03/2020 11:07:15;2
json-path/JsonPath;JsonPath;https://github.com/json-path/JsonPath;7731;8;24/01/2011 13:19:19;12
trello/RxLifecycle;RxLifecycle;https://github.com/trello/RxLifecycle;7712;22;20/07/2015 13:32:23;7
dropwizard/metrics;metrics;https://github.com/dropwizard/metrics;7702;104;26/02/2010 19:44:42;13
java-native-access/jna;jna;https://github.com/java-native-access/jna;7698;0;29/04/2011 13:30:29;11
apache/shenyu;shenyu;https://github.com/apache/shenyu;7679;8;11/07/2018 08:17:45;4
plantuml/plantuml;plantuml;https://github.com/plantuml/plantuml;7679;26;04/11/2010 15:55:50;12
seven332/EhViewer;EhViewer;https://github.com/seven332/EhViewer;7675;97;14/05/2014 12:03:52;8
aritraroy/UltimateAndroidReference;UltimateAndroidReference;https://github.com/aritraroy/UltimateAndroidReference;7654;0;10/04/2017 07:28:27;5
SonarSource/sonarqube;sonarqube;https://github.com/SonarSource/sonarqube;7587;36;05/01/2011 11:05:17;12
checkstyle/checkstyle;checkstyle;https://github.com/checkstyle/checkstyle;7587;126;31/08/2013 02:05:05;9
alibaba/otter;otter;https://github.com/alibaba/otter;7569;10;09/08/2013 09:31:22;9
kaushikgopal/RxJava-Android-Samples;RxJava-Android-Samples;https://github.com/kaushikgopal/RxJava-Android-Samples;7547;0;23/07/2014 05:13:52;8
barteksc/AndroidPdfViewer;AndroidPdfViewer;https://github.com/barteksc/AndroidPdfViewer;7524;0;02/06/2016 20:21:21;6
spring-projects/spring-security;spring-security;https://github.com/spring-projects/spring-security;7519;132;10/01/2012 21:50:57;11
davemorrissey/subsampling-scale-image-view;subsampling-scale-image-view;https://github.com/davemorrissey/subsampling-scale-image-view;7504;21;26/08/2013 16:45:25;9
facebook/litho;litho;https://github.com/facebook/litho;7502;52;27/01/2017 03:59:11;6
apache/doris;doris;https://github.com/apache/doris;7479;19;10/08/2017 12:13:30;5
sohutv/cachecloud;cachecloud;https://github.com/sohutv/cachecloud;7455;3;26/01/2016 05:46:01;7
vipshop/vjtools;vjtools;https://github.com/vipshop/vjtools;7438;9;29/05/2018 09:07:08;4
trinodb/trino;trino;https://github.com/trinodb/trino;7406;0;19/01/2019 06:38:14;4
datahub-project/datahub;datahub;https://github.com/datahub-project/datahub;7375;72;18/11/2015 05:47:40;7
gedoor/MyBookshelf;MyBookshelf;https://github.com/gedoor/MyBookshelf;7371;165;12/06/2018 03:48:07;4
lecho/hellocharts-android;hellocharts-android;https://github.com/lecho/hellocharts-android;7370;14;12/10/2014 09:12:37;8
koush/AndroidAsync;AndroidAsync;https://github.com/koush/AndroidAsync;7349;0;24/08/2012 07:27:04;10
itwanger/toBeBetterJavaer;toBeBetterJavaer;https://github.com/itwanger/toBeBetterJavaer;7310;0;08/11/2018 00:35:56;4
square/dagger;dagger;https://github.com/square/dagger;7292;0;02/08/2012 23:25:32;10
google/android-classyshark;android-classyshark;https://github.com/google/android-classyshark;7272;17;12/10/2015 13:40:48;7
Bearded-Hen/Android-Bootstrap;Android-Bootstrap;https://github.com/Bearded-Hen/Android-Bootstrap;7269;5;01/11/2013 15:36:17;9
